stat,mae,rmse,r2,mean_actual,mean_predicted,n_samples
goals,0.27425169944763184,0.4028017520904541,0.056501805782318115,0.15840452909469604,0.1809239387512207,21887
assists,0.4240778982639313,0.5335903763771057,0.04972243309020996,0.2699775993824005,0.3401263356208801,21887
points,0.5332457423210144,0.6679116487503052,0.10022294521331787,0.42838215827941895,0.5018962621688843,21887
shots,1.0157127380371094,1.3303864002227783,0.19839560985565186,1.4716041088104248,1.573469638824463,21887
shotsOnGoal,1.0156010389328003,1.3304232358932495,0.19835132360458374,1.4716041088104248,1.5737345218658447,21887
hits,1.0059669017791748,1.338086485862732,0.03924143314361572,1.0624114274978638,1.1390571594238281,21887
blocks,0.7232440114021301,0.9427425861358643,0.1919000744819641,0.7693607807159424,0.7804588079452515,21887
powerPlayPoints,0.15517498552799225,0.31557080149650574,0.056974828243255615,0.09407410770654678,0.08079241216182709,21887
plusMinus,0.8017967939376831,1.139366626739502,0.0020131468772888184,-0.009411979466676712,0.024271275848150253,21887
pim,0.6027867794036865,1.3750529289245605,-0.026010990142822266,0.4596792757511139,0.2185061126947403,21887
timeOnIceSeconds,6.251608371734619,7.761266231536865,0.9995204190781806,937.5735473632812,936.9992065429688,21887
wins,0.03979295492172241,0.11966173350811005,0.4411996006965637,0.026316991075873375,0.02581358514726162,21887
saves,0.7027332782745361,2.0415945053100586,0.8723766505718231,1.3104583024978638,1.3095507621765137,21887
shotsAgainst,0.7501729130744934,2.1419734954833984,0.8846729397773743,1.4581258296966553,1.4262841939926147,21887
goalsAgainst,0.13077034056186676,0.37454351782798767,0.7188401222229004,0.14803308248519897,0.12487279623746872,21887
savePct,0.03015364333987236,0.04976294934749603,0.9403253048658371,0.048925623297691345,0.06008780375123024,21887
shutouts,0.010790400207042694,0.049461040645837784,0.024015843868255615,0.0025129071436822414,0.008469006046652794,21887
